ID,type,path_to_file,begin_line,link_to_comment,comment,non-information,label,Expected
684,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java,78,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java#L78,"Looks up the URL for the image representing the given function, in the resource file listing images.",no,FALSE,0
479,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java,134,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java#L134,"For some reason the graphic is not set correctly, so let's fix this",no,FALSE,0
52,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeNodeViewModel.java,194,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeNodeViewModel.java#L194,Adds the given entries to this node's group.,yes,TRUE,1
384,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeViewModel.java,186,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeViewModel.java#L186,"TODO: Add undo Store undo information. AbstractUndoableEdit undoAddPreviousEntries = null; UndoableModifyGroup undo = new UndoableModifyGroup(GroupSelector.this, groupsRoot, node, newGroup); if (undoAddPreviousEntries == null) { panel.getUndoManager().addEdit(undo); } else { NamedCompound nc = new NamedCompound(""Modify Group""); nc.addEdit(undo); nc.addEdit(undoAddPreviousEntries); nc.end();/ panel.getUndoManager().addEdit(nc); } if (!addChange.isEmpty()) { undoAddPreviousEntries = UndoableChangeEntriesOfGroup.getUndoableEdit(null, addChange); }",no,FALSE,0
964,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DragAndDropDataFormats.java,9,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DragAndDropDataFormats.java#L9,Contains all the different {@link DataFormat}s that may occur in JabRef.,no,FALSE,0
867,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java,259,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java#L259,"read in the export format, take default format if no format entered",no,FALSE,0
644,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,521,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L521,"We have sorted the citation markers according to their order of appearance, so we simply count up for each marker referring to a new entry:",no,FALSE,0
831,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/UndefinedCharacterFormatException.java,3,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/UndefinedCharacterFormatException.java#L3,Exception used to indicate that the plugin attempted to set a character format that is not defined in the current OpenOffice document.,no,FALSE,0
737,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,875,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L875,"Resolve the bibtex key from a citation reference marker name, and look up the index of the key in a list of keys.",no,FALSE,0
616,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java,288,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java#L288,Different actions depending on where the user releases the drop in the target row Bottom + top -> import entries Center -> link files to entry,no,FALSE,0
912,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,470,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L470,All entries had keys.,no,FALSE,0
682,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/OpenHyperlinksInExternalBrowser.java,23,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/OpenHyperlinksInExternalBrowser.java#L23,"A Hyperlink Click Listener for javafx.WebView to open links on click in the browser Code adapted from: <a href=""https://stackoverflow.com/a/33445383/"">https://stackoverflow.com/a/33445383/</a>",no,FALSE,0
476,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,750,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L750,The footnote's anchor gives the correct position in the text:,no,FALSE,0
49,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java,381,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java#L381,Add menu for fetching bibliographic information,no,FALSE,0
68,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java,73,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java#L73,Puts A List of {@link PreviewLayout} in the map All previous content is cleared,no,FALSE,0
834,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiles/AutoLinkFilesAction.java,25,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiles/AutoLinkFilesAction.java#L25,This Action may only be used in a menu or button. Never in the entry editor. FileListEditor and EntryEditor have other ways to update the file links,no,FALSE,0
859,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java,518,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java#L518,Run an entry fetcher from the command line.,no,FALSE,0
985,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/JabRefCLI.java,19,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/JabRefCLI.java#L19,Number of characters per line,no,FALSE,0
531,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/GlobalSearchBar.java,251,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/GlobalSearchBar.java#L251,"The popup has private access in {@link AutoCompletionBinding}, so we use reflection to access it.",no,FALSE,0
214,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/remote/JabRefMessageHandler.java,29,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/remote/JabRefMessageHandler.java#L29,Need to run this on the JavaFX thread,no,FALSE,0
1035,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java,272,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java#L272,Auto-generated method stub,yes,TRUE,1
759,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,596,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L596,Update active search query when switching between databases,no,FALSE,0
774,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BackgroundTask.java,184,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BackgroundTask.java#L184,Creates a {@link BackgroundTask} that first runs this task and based on the result runs a second task.,no,FALSE,0
306,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java,184,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java#L184,Replace both entries by merged entry,no,FALSE,0
803,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoableInsertEntry.java,11,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoableInsertEntry.java#L11,"This class represents the removal of an entry. The constructor needs references to the database, the entry, and the map of open entry editors. The latter to be able to close the entry's editor if it is opened before the insert is undone.",no,FALSE,0
603,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,624,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L624,"Update the map of uniquefiers for the benefit of both the following generation of new citation markers, and for the method that builds the bibliography:",no,FALSE,0
687,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preview/PreviewViewer.java,122,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preview/PreviewViewer.java#L122,Register for changes,yes,TRUE,1
1031,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java,248,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java#L248,Auto-generated method stub,yes,TRUE,1
477,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/push/PushToLyx.java,77,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/push/PushToLyx.java#L77,"See if it helps to append "".in"":",no,FALSE,0
1043,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java,320,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java#L320,Auto-generated method stub,yes,TRUE,1
43,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/DocumentViewerControl.java,204,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/DocumentViewerControl.java#L204,Fade new page in for smoother transition,no,FALSE,0
724,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,1102,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L1102,Name the reference,yes,TRUE,1
472,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/FileNodeViewModel.java,39,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/FileNodeViewModel.java#L39,Return a string for displaying a node name (and its number of children if it is a directory).,no,FALSE,0
252,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/ViewModelTableRowFactory.java,136,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/ViewModelTableRowFactory.java#L136,"Activate context menu if user presses the ""context menu"" key",no,FALSE,0
424,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java,304,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java#L304,"Start of ugly hack: We need to find out, which tabs will be shown and which not and remove and re-add the appropriate tabs to the editor. We don't want to simply remove all and re-add the complete list of visible tabs, because the tabs give an ugly animation the looks like all tabs are shifting in from the right. This hack is required since tabbed.getTabs().setAll(visibleTabs) changes the order of the tabs in the editor",no,FALSE,0
184,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preview/PreviewPanel.java,84,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preview/PreviewPanel.java#L84,alt on win,no,FALSE,0
183,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/libraryproperties/LibraryPropertiesDialogView.java,133,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/libraryproperties/LibraryPropertiesDialogView.java#L133,Repeat for individual file dir - reuse 'text' and 'dir' vars,no,FALSE,0
589,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/cleanup/FieldFormatterCleanupsPanel.java,161,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/cleanup/FieldFormatterCleanupsPanel.java#L161,This panel contains the two comboboxes and the Add button,no,FALSE,0
295,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,1251,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L1251,handled by FX in TextInputControl#paste,no,FALSE,0
240,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java,188,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java#L188,Returns a wrapper around the given list that posts changes on the JavaFX thread.,no,FALSE,0
76,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefMain.java,173,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefMain.java#L173,Initialize protected terms loader,yes,TRUE,1
254,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/RequiredFieldsTab.java,40,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/RequiredFieldsTab.java#L40,Add the edit field for Bibtex-key.,no,FALSE,0
939,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DefaultInjector.java,65,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DefaultInjector.java#L65,Use our own method to construct dependencies,no,FALSE,0
118,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java,139,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java#L139,things to be appended to an opened tab should be done after opening all tabs add them to the list,no,FALSE,0
546,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/BibtexKeyPatternPanel.java,145,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/BibtexKeyPatternPanel.java#L145,default value,yes,TRUE,1
276,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/OpenDatabaseAction.java,128,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/OpenDatabaseAction.java#L128,"Opens the given files. If one of it is null or 404, nothing happens",no,FALSE,0
26,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java,28,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java#L28,Helper methods for javafx binding. Some methods are taken from https://bugs.openjdk.java.net/browse/JDK-8134679,no,FALSE,0
469,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java,74,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java#L74,"We create a decoration pane ourselves for performance reasons (otherwise it has to be injected later, leading to a complete redraw/relayout of the complete scene)",no,FALSE,0
771,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoableStringChange.java,33,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoableStringChange.java#L33,Revert the change.,yes,TRUE,1
179,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/SmartConstrainedResizePolicy.java,92,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/SmartConstrainedResizePolicy.java#L92,"TODO: reflective access, should be removed",no,FALSE,0
50,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java,309,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java#L309,ctrl on win,no,FALSE,0
92,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/AppendDatabaseAction.java,140,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/AppendDatabaseAction.java#L140,"UndoableAddOrRemoveGroup undo = new UndoableAddOrRemoveGroup(groupsRoot, new GroupTreeNodeViewModel(newGroups), UndoableAddOrRemoveGroup.ADD_NODE); ce.addEdit(undo);",yes,TRUE,1
433,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java,113,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java#L113,This will wrap the built in and ieee abbreviations in pseudo abbreviation files and add them to the list of journal abbreviation files.,no,FALSE,0
696,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/SimpleCommand.java,11,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/SimpleCommand.java#L11,A simple command that does not track progress of the action.,no,FALSE,0
763,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/UndoableAddOrRemoveGroup.java,11,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/UndoableAddOrRemoveGroup.java#L11,Adding of a single node (group).,yes,TRUE,1
97,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,1296,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L1296,Be happy with the first found BibEntry and move on to next key,yes,TRUE,1
431,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java,6,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java#L6,Opens a shared database.,yes,TRUE,1
868,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java,265,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/cli/ArgumentProcessor.java#L265,default exporter: HTML table (with Abstract & BibTeX),no,FALSE,0
244,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java,163,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java#L163,"Go through unchanged types. Remove them from the ones that should be stored, and from the list of defaults, since we don't need to mention these in prefs:",no,FALSE,0
1030,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java,242,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java#L242,Auto-generated method stub,yes,TRUE,1
835,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/Bootstrap.java,114,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/Bootstrap.java#L114,backwards compatibility stub.,no,FALSE,0
212,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/desktop/JabRefDesktop.java,35,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/desktop/JabRefDesktop.java#L35,TODO: Replace by http://docs.oracle.com/javase/7/docs/api/java/awt/Desktop.html http://stackoverflow.com/questions/18004150/desktop-api-is-not-supported-on-the-current-platform,no,FALSE,0
13,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java,54,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java#L54,"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.",no,FALSE,0
746,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/ThemeLoader.java,76,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/ThemeLoader.java#L76,Installs the base css file as a stylesheet in the given scene. Changes in the css file lead to a redraw of the scene using the new css file.,no,FALSE,0
463,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OpenOfficePanel.java,389,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OpenOfficePanel.java#L389,Enable actions that depend on Connect:,no,FALSE,0
481,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/filelist/LinkedFilesEditDialogViewModel.java,84,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/filelist/LinkedFilesEditDialogViewModel.java#L84,Store the directory for next time:,no,FALSE,0
693,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/RelatedArticlesTab.java,32,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/RelatedArticlesTab.java#L32,GUI for tab displaying article recommendations based on the currently selected BibEntry,no,FALSE,0
