ID,type,path_to_file,begin_line,link_to_comment,comment,non-information
FR305,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/edit/CopyBibTeXKeyAndLinkAction.java,57,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/edit/CopyBibTeXKeyAndLinkAction.java#L57,All entries had keys.,no
FR1040,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java,173,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java#L173,Add radio buttons if the two entries do not have identical fields,no
FR147,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/BibEntrySuggestionProvider.java,11,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/BibEntrySuggestionProvider.java#L11,Delivers possible completions as a list of {@link BibEntry} based on their cite key.,no
FR763,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java,216,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java#L216,css: eye *,no
FR900,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java,224,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java#L224,Method to add a new abbreviation to the abbreviations list property. It also sets the currentAbbreviation property to the new abbreviation.,no
FR32,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,1219,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L1219,"Class for handling general actions; cut, copy and paste. The focused component is kept track of by Globals.focusListener, and we call the action stored under the relevant name in its action map.",no
FR1386,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/OptionalObjectProperty.java,24,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/OptionalObjectProperty.java#L24,"Returns a new ObservableValue that holds the value held by this ObservableValue, or {@code other} when this ObservableValue is empty.",no
FR154,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/OldDatabaseCommandWrapper.java,15,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/OldDatabaseCommandWrapper.java#L15,A command that is only executable if a database is open. Deprecated use instead,no
FR86,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java,115,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java#L115,Define focused tab,no
FR345,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/FieldsEditorTab.java,39,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/FieldsEditorTab.java#L39,A single tab displayed in the EntryEditor holding several FieldEditors.,no
FR297,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/duplicationFinder/DuplicateSearch.java,103,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/duplicationFinder/DuplicateSearch.java#L103,"poll with timeout in case the library is not analyzed completely, but contains no more duplicates",no
FR407,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java,82,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java#L82,Clears the current log,yes
FR925,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/keyboard/KeyBindingViewModel.java,86,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/keyboard/KeyBindingViewModel.java#L86,Sets a a new key bind to this objects key binding object if the given key event is a valid combination of keys.,no
FR1340,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoablePreambleChange.java,34,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/undo/UndoablePreambleChange.java#L34,Revert the change.,yes
FR291,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/DocumentViewerControl.java,204,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/DocumentViewerControl.java#L204,Fade new page in for smoother transition,no
FR796,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java,259,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java#L259,css: rss *,no
FR1295,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/rules/describer/SearchDescribers.java,13,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/rules/describer/SearchDescribers.java#L13,Get the search describer for a given search query.,yes
FR302,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/edit/ReplaceStringViewModel.java,60,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/edit/ReplaceStringViewModel.java#L60,Does the actual operation on a Bibtex entry based on the settings specified in this same dialog. Returns the number of occurrences replaced.,no
FR256,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/desktop/JabRefDesktop.java,83,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/desktop/JabRefDesktop.java#L83,should be opened in browser,no
FR932,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/keyboard/KeyBindingRepository.java,83,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/keyboard/KeyBindingRepository.java#L83,Returns the HashMap containing all key bindings.,yes
FR386,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java,381,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java#L381,Add menu for fetching bibliographic information,no
FR1007,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java,309,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTable.java#L309,ctrl on win,no
FR849,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/AppendDatabaseAction.java,123,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/AppendDatabaseAction.java#L123,"Adds the specified node as a child of the current root. The group contained in <b>newGroups </b> must not be of type AllEntriesGroup, since every tree has exactly one AllEntriesGroup (its root). The <b>newGroups </b> are inserted directly, i.e. they are not deepCopy()'d.",no
FR651,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeNodeViewModel.java,194,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeNodeViewModel.java#L194,Adds the given entries to this node's group.,yes
FR1184,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OpenOfficePanel.java,557,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OpenOfficePanel.java#L557,"No, we canceled (or there is no panel to get the database from, highly unlikely)",no
FR692,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java,718,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java#L718,default,yes
FR412,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java,103,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java#L103,Bug report body,yes
FR392,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditorTab.java,32,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditorTab.java#L32,Do nothing by default,yes
FR1328,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/CitationsDisplay.java,78,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/CitationsDisplay.java#L78,Text after the citation.,no
FR490,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java,26,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java#L26,The only instance of this class:,yes
FR1427,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java,13,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java#L13,"Placeholder class for a custom generic type safe dragboard to be used in drag and drop, does not depend on serialization Don't use this class directly. Use the instance provided in {@link GUIGlobals#localDragboard}",no
FR1331,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/ParseTexResultViewModel.java,69,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/texparser/ParseTexResultViewModel.java#L69,Search and import unknown references from associated BIB files.,no
FR195,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/auximport/FromAuxDialog.java,32,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/auximport/FromAuxDialog.java#L32,A wizard dialog for generating a new sub database from existing TeX AUX file,no
FR806,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ParserResultWarningDialog.java,31,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ParserResultWarningDialog.java#L31,Shows a dialog with the warnings from an import or open of a file,no
FR1446,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/MappedList.java,34,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/MappedList.java#L34,get permutation array,no
FR623,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeView.java,160,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeView.java#L160,Set pseudo-classes to indicate if row is root or sub-item ( > 1 deep),no
FR538,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/URLUtil.java,96,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/URLUtil.java#L96,"Don't report this error, since this getting the suffix is a non-critical operation, and this error will be triggered and reported elsewhere.",no
FR425,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportCommand.java,84,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportCommand.java#L84,Selected entries,yes
FR1038,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java,153,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java#L153,For all fields in joint add a row and possibly radio buttons,no
FR1431,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java,73,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/CustomLocalDragboard.java#L73,Puts A List of {@link PreviewLayout} in the map All previous content is cleared,no
FR831,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java,152,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java#L152,Remove the entry from the import inspection dialog.,yes
FR835,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java,168,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java#L168,"Second, check if the duplicate is of another entry in the import:",no
FR830,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java,147,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java#L147,TODO: Remove old entry. Or... add it to a list of entries to be deleted. We only delete it after Ok is clicked. entriesToDelete.add(other.get());,no
FR276,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/PdfDocumentPageViewModel.java,45,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/documentviewer/PdfDocumentPageViewModel.java#L45,Taken from https://stackoverflow.com/questions/23326562/apache-pdfbox-convert-pdf-to-images,no
FR607,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/filelist/LinkedFilesEditDialogViewModel.java,59,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/filelist/LinkedFilesEditDialogViewModel.java#L59,Check if this looks like a remote link:,yes
FR424,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportCommand.java,59,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportCommand.java#L59,Get list of exporters and sort before adding to file dialog,yes
FR439,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/SaveDatabaseAction.java,207,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/SaveDatabaseAction.java#L207,Save all properties dependent on the ID. This makes it possible to restore them.,no
FR110,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefMain.java,173,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefMain.java#L173,Initialize protected terms loader,yes
FR127,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java,46,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java#L46,"Returns MenuItemContainer node associated with this menu item which can contain: 1. label node of type Label for displaying menu item text, 2. right node of type Label for displaying accelerator text,or an arrow if it's a Menu, 3. graphic node for displaying menu item icon, and 4. left node for displaying either radio button or check box.This is basically rewritten impl_styleableGetNode() which should not be used since it's marked as deprecated.",no
FR1357,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/component/DiffHighlightingTextPane.java,17,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/component/DiffHighlightingTextPane.java#L17,setContentType(CONTENT_TYPE); StyleSheet sheet = ((HTMLEditorKit) getEditorKit()).getStyleSheet(); sheet.addRule(BODY_STYLE); sheet.addRule(ADDITION_STYLE); sheet.addRule(REMOVAL_STYLE); sheet.addRule(CHANGE_STYLE); setEditable(false);,yes
FR902,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java,265,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/journals/ManageJournalAbbreviationsViewModel.java#L265,Sets the name and the abbreviation of the {@code currentAbbreviation} property to the values of the {@code abbreviationsName} and {@code abbreviationsAbbreviation} properties.,no
FR1131,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,632,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L632,"Finally, go through all citation markers, and update those referring to entries in our current list:",no
FR1296,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/rules/describer/GrammarBasedSearchRuleDescriber.java,38,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/search/rules/describer/GrammarBasedSearchRuleDescriber.java#L38,describe advanced search expression,no
FR206,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/GenerateBibtexKeyAction.java,60,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/GenerateBibtexKeyAction.java#L60,if we're going to override some cite keys warn the user about it,no
FR861,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/GUIPostOpenAction.java,25,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/actions/GUIPostOpenAction.java#L25,"This method is called after the new database has been added to the GUI, if the isActionNecessary() method returned true. Note: if several such methods need to be called sequentially, it is important that all implementations of this method do not return until the operation is finished.",no
FR841,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/UnlinkedFilesCrawler.java,40,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/UnlinkedFilesCrawler.java#L40,"Searches recursively all files in the specified directory. <br> <br> All files matched by the given {@link UnlinkedPDFFileFilter} are taken into the resulting tree. <br> <br> The result will be a tree structure of nodes of the type {@link CheckBoxTreeItem}. <br> <br> The user objects that are attached to the nodes is the {@link FileNodeWrapper}, which wraps the {@link File}-Object. <br> <br> For ensuring the capability to cancel the work of this recursive method, the first position in the integer array 'state' must be set to 1, to keep the recursion running. When the states value changes, the method will resolve its recursion and return what it has saved so far.",no
FR477,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiles/FindFullTextAction.java,121,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiles/FindFullTextAction.java#L121,This method attaches a linked file from a URL (if not already linked) to an entry using the key and value pair from the findFullTexts map and then downloads the file into the given targetDirectory,no
FR579,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/UrlEditor.java,40,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/UrlEditor.java#L40,init paste handler for URLEditor to format pasted url link in textArea,no
FR167,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/SuggestionProvider.java,144,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/SuggestionProvider.java#L144,Create a new SuggestionProviderString,yes
FR1145,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,1022,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L1022,Set the new sections name to 'Child_Section',yes
FR813,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportAction.java,56,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportAction.java#L56,"Ok, done. Then try to gather in all we have found. Since we might have found one or more bibtex results, it's best to gather them in a BibDatabase.",no
